Frame,left_hand_thumb_0_joint_dof,left_hand_thumb_1_joint_dof,left_hand_thumb_2_joint_dof,left_hand_middle_0_joint_dof,left_hand_middle_1_joint_dof,left_hand_index_0_joint_dof,left_hand_index_1_joint_dof,right_hand_thumb_0_joint_dof,right_hand_thumb_1_joint_dof,right_hand_thumb_2_joint_dof,right_hand_index_0_joint_dof,right_hand_index_1_joint_dof,right_hand_middle_0_joint_dof,right_hand_middle_1_joint_dof,hand_openness
17,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
18,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
19,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
20,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
21,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
22,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
23,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
24,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
25,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
26,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
27,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
28,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
29,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
30,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
31,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
32,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
33,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
34,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
35,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
36,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
37,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
38,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
39,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
40,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
41,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
42,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
43,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
44,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
45,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
46,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
47,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
48,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
49,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
50,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
51,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
52,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
53,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
54,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
55,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
56,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
57,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
58,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
59,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
60,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
61,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
62,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
63,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
64,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
65,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
66,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
67,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
68,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
69,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
70,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
71,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
72,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
73,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
74,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
75,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
76,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
77,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
78,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
79,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
80,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
81,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
82,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
83,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
84,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
85,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
86,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
87,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
88,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
89,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
90,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
91,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
92,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
93,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
94,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
95,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
96,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
97,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
98,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
99,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
100,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
101,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
102,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
103,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
104,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
105,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
106,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
107,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
108,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
109,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
110,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
111,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
112,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
113,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
114,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
115,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
116,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
117,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
118,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
119,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
120,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
121,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
122,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
123,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
124,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
125,-60.000140,-41.500021,0.000000,-105.000246,-120.000281,-105.000246,-120.000281,60.000140,41.500021,0.000000,105.000246,120.000281,105.000246,120.000281,0.000000
126,-52.400123,-35.071677,7.600018,-97.653564,-112.400263,-97.653564,-112.400263,52.400123,35.071677,-7.600018,97.653564,112.400263,97.653564,112.400263,0.066667
127,-44.800105,-28.643334,15.200036,-90.306883,-104.800245,-90.306883,-104.800245,44.800105,28.643334,-15.200036,90.306883,104.800245,90.306883,104.800245,0.133333
128,-37.200087,-22.214990,22.800053,-82.960201,-97.200227,-82.960201,-97.200227,37.200087,22.214990,-22.800053,82.960201,97.200227,82.960201,97.200227,0.200000
129,-29.600069,-15.786647,30.400071,-75.613520,-89.600210,-75.613520,-89.600210,29.600069,15.786647,-30.400071,75.613520,89.600210,75.613520,89.600210,0.266667
130,-22.000051,-9.358303,38.000089,-68.266838,-82.000192,-68.266838,-82.000192,22.000051,9.358303,-38.000089,68.266838,82.000192,68.266838,82.000192,0.333333
131,-14.400034,-2.929959,45.600107,-60.920157,-74.400174,-60.920157,-74.400174,14.400034,2.929959,-45.600107,60.920157,74.400174,60.920157,74.400174,0.400000
132,-6.800016,3.498384,53.200124,-53.573476,-66.800156,-53.573476,-66.800156,6.800016,-3.498384,-53.200124,53.573476,66.800156,53.573476,66.800156,0.466667
133,0.800002,9.926728,60.800142,-46.226794,-59.200138,-46.226794,-59.200138,-0.800002,-9.926728,-60.800142,46.226794,59.200138,46.226794,59.200138,0.533333
134,8.400020,16.355071,68.400160,-38.880113,-51.600121,-38.880113,-51.600121,-8.400020,-16.355071,-68.400160,38.880113,51.600121,38.880113,51.600121,0.600000
135,16.000037,22.783415,76.000178,-31.533431,-44.000103,-31.533431,-44.000103,-16.000037,-22.783415,-76.000178,31.533431,44.000103,31.533431,44.000103,0.666667
136,23.600055,29.211758,83.600195,-24.186750,-36.400085,-24.186750,-36.400085,-23.600055,-29.211758,-83.600195,24.186750,36.400085,24.186750,36.400085,0.733333
137,31.200073,35.640102,91.200213,-16.840068,-28.800067,-16.840068,-28.800067,-31.200073,-35.640102,-91.200213,16.840068,28.800067,16.840068,28.800067,0.800000
138,38.800091,42.068445,98.800231,-9.493387,-21.200050,-9.493387,-21.200050,-38.800091,-42.068445,-98.800231,9.493387,21.200050,9.493387,21.200050,0.866667
139,46.400109,48.496789,106.400249,-2.146706,-13.600032,-2.146706,-13.600032,-46.400109,-48.496789,-106.400249,2.146706,13.600032,2.146706,13.600032,0.933333
140,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
141,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
142,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
143,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
144,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
145,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
146,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
147,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
148,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
149,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
150,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
151,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
152,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
153,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
154,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
155,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
156,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
157,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
158,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
159,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
160,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
161,54.000126,54.925132,114.000267,5.199976,-6.000014,5.199976,-6.000014,-54.000126,-54.925132,-114.000267,-5.199976,6.000014,-5.199976,6.000014,1.000000
