frame,x0,y0,x1,y1,area,motion,blur
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.135000000000000000e+04,0.000000000000000000e+00,3.723322938185871180e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.140300000000000000e+04,5.119753086419752686e-01,3.717539387002148032e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.135900000000000000e+04,5.039660493827160526e-01,3.719333837590854159e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.141700000000000000e+04,4.936959876543209891e-01,3.726091752828623385e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.133900000000000000e+04,4.633873456790123524e-01,3.730540412808642827e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.155200000000000000e+04,4.825462962962963065e-01,3.733603277603929200e+02
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.162000000000000000e+04,5.080632716049382491e-01,3.725042122304145664e+02
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.160700000000000000e+04,5.192824074074073870e-01,3.728169569234871688e+02
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.173500000000000000e+04,5.067978395061728536e-01,3.735202439242660262e+02
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.183300000000000000e+04,4.918518518518518734e-01,3.748657145013502827e+02
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.196100000000000000e+04,4.987731481481481599e-01,3.746031252569634944e+02
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.166900000000000000e+04,4.806172839506172578e-01,3.749799106438019294e+02
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.179700000000000000e+04,4.436342592592592560e-01,3.751442497311290367e+02
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.200000000000000000e+04,4.545833333333333393e-01,3.762077404775853324e+02
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.180300000000000000e+04,4.882870370370370194e-01,3.766326886140045644e+02
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.185800000000000000e+04,4.929166666666666696e-01,3.769793974470355238e+02
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.184900000000000000e+04,4.557330246913580130e-01,3.763368020399304896e+02
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.160300000000000000e+04,4.529243827160494007e-01,3.767159454288956795e+02
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.176700000000000000e+04,4.713966049382716239e-01,3.773318176839825355e+02
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.167100000000000000e+04,4.970756172839506104e-01,3.766928944434918094e+02
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.185600000000000000e+04,4.313194444444444220e-01,3.763085754881472553e+02
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.172300000000000000e+04,4.779706790123456894e-01,3.768541810984772837e+02
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.159500000000000000e+04,4.757561728395061640e-01,3.765627846121375342e+02
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.180400000000000000e+04,5.386805555555556069e-01,3.765893132829766046e+02
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.176600000000000000e+04,4.706404320987654377e-01,3.757167282578874961e+02
2.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.185800000000000000e+04,4.531095679012345778e-01,3.752376750894847532e+02
2.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.201400000000000000e+04,5.129706790123457205e-01,3.722893006020423172e+02
2.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.230800000000000000e+04,5.014274691358024949e-01,3.748281043702845636e+02
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.236400000000000000e+04,4.291203703703703742e-01,3.747089208009450658e+02
2.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.238200000000000000e+04,4.486265432098765493e-01,3.748282928895652617e+02
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.790000000000000000e+02,2.690000000000000000e+02,2.245400000000000000e+04,4.765123456790123502e-01,3.758601811375933721e+02
