frame,x0,y0,x1,y1,area,motion,blur
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.530000000000000000e+02,2.774000000000000000e+03,0.000000000000000000e+00,3.743428650905325412e+02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.490000000000000000e+02,2.747000000000000000e+03,3.862037037037037157e-01,3.750808514479500104e+02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.530000000000000000e+02,2.821000000000000000e+03,4.173456790123457050e-01,3.740564312735767771e+02
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.530000000000000000e+02,2.884000000000000000e+03,3.552006172839506370e-01,3.720949221316658395e+02
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.530000000000000000e+02,2.945000000000000000e+03,3.504475308641975539e-01,3.708289639655135943e+02
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.490000000000000000e+02,2.821000000000000000e+03,4.188657407407407329e-01,3.714871973763051187e+02
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.490000000000000000e+02,2.880000000000000000e+03,4.072530864197531075e-01,3.717254133272724061e+02
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.160000000000000000e+02,2.490000000000000000e+02,2.822000000000000000e+03,2.963117283950617020e-01,3.733920352622861287e+02
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.490000000000000000e+02,2.974000000000000000e+03,2.933101851851852016e-01,3.732962931155097408e+02
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.170000000000000000e+02,2.490000000000000000e+02,2.912000000000000000e+03,3.577006172839506393e-01,3.749559391188819291e+02
